CALENDAR_MONTH_END_DATE,APC_Finished_Consultant,APC_FCEs_with_a_procedure,APC_Percent_FCEs_with_procedure,APC_Ordinary_Episodes,APC_Day_Case_Episodes,APC_Day_Case_Episodes_with_proc,APC_Percent_Day_Cases_with_proc,APC_Finished_Admission_Episodes,APC_Emergency,Outpatient_Total_Appointments,Outpatient_Attended_Appointments,Outpatient_Percent_Attended,Outpatient_DNA_Appointment,Outpatient_Percent_DNA,Outpatient_Follow_Up_Attendance,Outpatient_Attendance_Type_1,Outpatient_Attendance_Type_2
DEC21,1569820,915055,0.58,1045139,524681,492241,0.94,1267107,505324,9482082,7255171,.77,637370,.07,2.2034347,2255584,4970032
NOV21,1687544,1010573,0.6,1080242,607302,571296,0.94,1377678,518718,11034814,8654650,.78,718968,.07,2.1702533,2720288,5903714
OCT21,1647989,968969,0.59,1081821,566168,532212,0.94,1345030,521829,10125522,7894460,.78,657036,.06,2.1434476,2502621,5364237
SEP21,1654077,979044,0.59,1075546,578531,544688,0.94,1352229,518876,10660601,8282386,.78,703752,.07,2.1711656,2602923,5651377
AUG21,1600590,935142,0.58,1064311,536279,505602,0.94,1297660,512354,9611480,7442768,.77,624758,.07,2.1912527,2324009,5092491
JUL21,1704980,1006683,0.59,1119816,585164,551613,0.94,1390224,539307,10404901,8079610,.78,673882,.06,2.1698901,2539860,5511217
JUN21,1725395,1024047,0.59,1118939,606456,571548,0.94,1408450,546592,10728660,8478081,.79,678912,.06,2.1690591,2666215,5783178
MAY21,1655379,965251,0.58,1106721,548658,517627,0.94,1348199,545624,9619031,7718730,0.8,570172,.06,2.1782076,2428549,5289884
APR21,1588517,931174,0.59,1058465,530052,500328,0.94,1287524,520551,9602368,7718221,0.8,560788,.06,2.2388177,2382960,5335013
MAR21,1604914,937632,0.58,1063185,541729,508654,0.94,1294542,515365,10137274,8152098,0.8,562840,.06,2.2613795,2496118,5644670
FEB21,1325829,763450,0.58,908208,417621,393937,0.94,1046693,432661,8458452,6639233,.78,471538,.06,2.250588,2037935,4586552
JAN21,1338786,753922,0.56,942727,396059,374247,0.94,1042300,448329,8865878,6659982,.75,531229,.06,2.2562774,2040781,4604568
DEC20,1454131,849087,0.58,981093,473038,445596,0.94,1159024,466044,8905112,6941839,.78,559043,.06,2.2404985,2138155,4790533
NOV20,1506938,893210,0.59,990469,516469,486031,0.94,1214503,464099,9681408,7624631,.79,600913,.06,2.2373743,2350389,5258700
OCT20,1574723,930986,0.59,1047193,527530,495707,0.94,1272366,488429,9579625,7517113,.78,577482,.06,2.2193348,2330538,5172244
SEP20,1515936,874195,0.58,1033077,482859,452406,0.94,1217317,492437,9419098,7370728,.78,564477,.06,2.2511107,2263392,5095146
AUG20,1376539,767541,0.56,986847,389692,365483,0.94,1098061,477365,7745710,6057920,.78,439814,.06,2.269757,1849924,4198878
JUL20,1380268,767566,0.56,999401,380867,356468,0.94,1093552,483219,8429211,6631323,.79,441693,.05,2.3631575,1970206,4655907
JUN20,1205487,638157,0.53,920737,284750,267331,0.94,935088,448130,7632954,5963182,.78,364166,.05,2.4333925,1736022,4224423
MAY20,1017461,506288,0.5,825369,192092,179239,0.93,782986,404515,6233935,4589498,.74,266045,.04,2.5744962,1283133,3303421
APR20,867677,415595,0.48,708332,159345,149383,0.94,656688,330244,6810001,4268727,.63,261509,.04,2.8220692,1116181,3149940
MAR20,1462408,837589,0.57,975066,487342,456268,0.94,1170482,445419,9917653,6897428,0.7,596531,.06,2.2402743,2127656,4766533
FEB20,1690282,1007009,0.6,1070874,619408,582569,0.94,1393941,516503,10018835,7811062,.78,587761,.06,2.0851966,2530794,5277203
JAN20,1839295,1081952,0.59,1168631,670664,630170,0.94,1508884,568119,11153142,8711845,.78,682021,.06,2.1376877,2775389,5932915
DEC19,1714130,965283,0.56,1144634,569496,534974,0.94,1395738,569055,9503376,7280493,.77,602232,.06,2.0847562,2359319,4918605
NOV19,1798723,1057571,0.59,1149119,649604,610969,0.94,1489361,563408,10659513,8342470,.78,650859,.06,2.0942029,2695075,5644034
OCT19,1868490,1107801,0.59,1185956,682534,640672,0.94,1547363,574045,11441830,8918336,.78,703588,.06,2.0910141,2884354,6031225
SEP19,1731179,1024050,0.59,1109115,622064,584491,0.94,1432235,536397,10459915,8106956,.78,654894,.06,2.0811963,2630501,5474589
AUG19,1717762,1016529,0.59,1111033,606729,570504,0.94,1418377,533546,9805595,7611047,.78,609880,.06,2.1038616,2451618,5157865
JUL19,1849645,1104461,0.6,1174349,675296,634492,0.94,1529764,564555,11226873,8745684,.78,698662,.06,2.0825992,2836456,5907201
JUN19,1710637,1012059,0.59,1102988,607649,571804,0.94,1415306,531624,10054897,7831232,.78,627332,.06,2.0803668,2541645,5287554
MAY19,1800437,1061087,0.59,1161514,638923,601265,0.94,1483746,560316,10564094,8267388,.78,659622,.06,2.1069354,2660280,5605038
APR19,1729288,1006594,0.58,1123830,605458,569723,0.94,1417361,546599,10122059,7898057,.78,621658,.06,2.1180911,2532375,5363801
MAR19,1783616,1041733,0.58,1146458,637158,599692,0.94,1471902,555826,10346622,8096535,.78,621929,.06,2.1472282,2572041,5522759
FEB19,1652040,970533,0.59,1054455,597585,563307,0.94,1357496,510004,9798535,7650679,.78,598738,.06,2.1683569,2414282,5235025
JAN19,1826772,1058598,0.58,1169771,657001,618374,0.94,1496307,570673,11032177,8636822,.78,707588,.06,2.2002097,2697666,5935431
DEC18,1655793,930664,0.56,1115010,540783,509073,0.94,1350603,549819,8862716,6861236,.77,576635,.07,2.1451461,2180485,4677459
NOV18,1800163,1057838,0.59,1146386,653777,611924,0.94,1489119,552334,10969686,8628771,.79,695145,.06,2.1651674,2725708,5901614
OCT18,1831029,1079397,0.59,1164274,666755,623734,0.94,1512512,556643,11303992,8846921,.78,727676,.06,2.1531306,2805050,6039639
SEP18,1650167,965835,0.59,1070864,579303,542141,0.94,1367608,512001,9844312,7640499,.78,648571,.07,2.1602208,2417145,5221567
AUG18,1707413,1008544,0.59,1101091,606322,568439,0.94,1408713,523269,9995903,7775273,.78,658938,.07,2.1785838,2445731,5328230
JUL18,1749497,1032598,0.59,1123898,625599,586227,0.94,1447287,535964,10493043,8185894,.78,699105,.07,2.1585316,2590966,5592682
JUN18,1704775,1014449,0.6,1092801,611974,574016,0.94,1412865,519277,10270558,8028283,.78,670072,.07,2.1522412,2546163,5479957
MAY18,1750107,1038140,0.59,1123647,626460,587994,0.94,1453043,540049,10564546,8313038,.79,685372,.06,2.1653631,2625555,5685280
APR18,1649327,965935,0.59,1065819,583508,547698,0.94,1360043,512100,9869345,7756163,.79,629891,.06,2.1998943,2423291,5330984
MAR18,1698692,992879,0.58,1106289,592403,557720,0.94,1400323,530049,9934942,7620545,.77,668059,.07,2.1840771,2386147,5211529
FEB18,1576780,931281,0.59,1009936,566844,534607,0.94,1299635,481426,9496904,7389330,.78,610217,.06,2.1936769,2306790,5060352
